MemoryID,MemoryType,MemorySize,MemoryQty,MemoryValue
58,DDR2-533,16 GB,8,0
59,DDR2-533,16 GB,9,0
60,DDR2-533,16 GB,10,0
61,DDR2-667,512 MB,1,0
62,DDR2-667,512 MB,2,0
63,DDR2-667,512 MB,3,0
64,DDR2-667,512 MB,4,0
65,DDR2-667,512 MB,5,0
66,DDR2-667,512 MB,6,0
67,DDR2-667,512 MB,7,0
68,DDR2-667,512 MB,8,0
69,DDR2-667,512 MB,9,0
70,DDR2-667,512 MB,10,0
71,DDR2-667,1 GB,1,0
72,DDR2-667,1 GB,2,0
73,DDR2-667,1 GB,3,0
74,DDR2-667,1 GB,4,0
75,DDR2-667,1 GB,5,0
76,DDR2-667,1 GB,6,0
77,DDR2-667,1 GB,7,0
78,DDR2-667,1 GB,8,0
79,DDR2-667,1 GB,9,0
80,DDR2-667,1 GB,10,0
81,DDR2-667,2 GB,1,0
82,DDR2-667,2 GB,2,0
83,DDR2-667,2 GB,3,0
84,DDR2-667,2 GB,4,0
85,DDR2-667,2 GB,5,0
86,DDR2-667,2 GB,6,0
87,DDR2-667,2 GB,7,0
88,DDR2-667,2 GB,8,0
89,DDR2-667,2 GB,9,0
90,DDR2-667,2 GB,10,0
91,DDR2-667,4 GB,1,0
92,DDR2-667,4 GB,2,0
93,DDR2-667,4 GB,3,0
94,DDR2-667,4 GB,4,0
95,DDR2-667,4 GB,5,0
96,DDR2-667,4 GB,6,0
97,DDR2-667,4 GB,7,0
98,DDR2-667,4 GB,8,0
99,DDR2-667,4 GB,9,0
100,DDR2-667,4 GB,10,0
101,DDR2-667,8 GB,1,0
102,DDR2-667,8 GB,2,0
103,DDR2-667,8 GB,3,0
104,DDR2-667,8 GB,4,0
105,DDR2-667,8 GB,5,0
106,DDR2-667,8 GB,6,0
107,DDR2-667,8 GB,7,0
108,DDR2-667,8 GB,8,0
109,DDR2-667,8 GB,9,0
110,DDR2-667,8 GB,10,0
111,DDR2-667,16 GB,1,0
112,DDR2-667,16 GB,2,0
113,DDR2-667,16 GB,3,0
114,DDR2-667,16 GB,4,0
115,DDR2-667,16 GB,5,0
116,DDR2-667,16 GB,6,0
117,DDR2-667,16 GB,7,0
118,DDR2-667,16 GB,8,0
119,DDR2-667,16 GB,9,0
120,DDR2-667,16 GB,10,0
121,DDR2-800,512 MB,1,0
122,DDR2-800,512 MB,2,0
123,DDR2-800,512 MB,3,0
124,DDR2-800,512 MB,4,0
125,DDR2-800,512 MB,5,0
126,DDR2-800,512 MB,6,0
127,DDR2-800,512 MB,7,0
128,DDR2-800,512 MB,8,0
129,DDR2-800,512 MB,9,0
130,DDR2-800,512 MB,10,0
131,DDR2-800,1 GB,1,0
132,DDR2-800,1 GB,2,0
133,DDR2-800,1 GB,3,0
134,DDR2-800,1 GB,4,0
135,DDR2-800,1 GB,5,0
136,DDR2-800,1 GB,6,0
137,DDR2-800,1 GB,7,0
138,DDR2-800,1 GB,8,0
139,DDR2-800,1 GB,9,0
140,DDR2-800,1 GB,10,0
141,DDR2-800,2 GB,1,0
142,DDR2-800,2 GB,2,0
143,DDR2-800,2 GB,3,0
144,DDR2-800,2 GB,4,0
145,DDR2-800,2 GB,5,0
146,DDR2-800,2 GB,6,0
147,DDR2-800,2 GB,7,0
148,DDR2-800,2 GB,8,0
149,DDR2-800,2 GB,9,0
150,DDR2-800,2 GB,10,0
151,DDR2-800,4 GB,1,0
152,DDR2-800,4 GB,2,0
153,DDR2-800,4 GB,3,0
154,DDR2-800,4 GB,4,0
155,DDR2-800,4 GB,5,0
156,DDR2-800,4 GB,6,0
157,DDR2-800,4 GB,7,0
158,DDR2-800,4 GB,8,0
159,DDR2-800,4 GB,9,0
160,DDR2-800,4 GB,10,0
161,DDR2-800,8 GB,1,0
162,DDR2-800,8 GB,2,0
163,DDR2-800,8 GB,3,0
164,DDR2-800,8 GB,4,0
165,DDR2-800,8 GB,5,0
166,DDR2-800,8 GB,6,0
167,DDR2-800,8 GB,7,0
168,DDR2-800,8 GB,8,0
169,DDR2-800,8 GB,9,0
170,DDR2-800,8 GB,10,0
171,DDR2-800,16 GB,1,0
172,DDR2-800,16 GB,2,0
173,DDR2-800,16 GB,3,0
174,DDR2-800,16 GB,4,0
175,DDR2-800,16 GB,5,0
176,DDR2-800,16 GB,6,0
177,DDR2-800,16 GB,7,0
178,DDR2-800,16 GB,8,0
179,DDR2-800,16 GB,9,0
180,DDR2-800,16 GB,10,0
181,DDR2-1066,512 MB,1,0
182,DDR2-1066,512 MB,2,0
183,DDR2-1066,512 MB,3,0
184,DDR2-1066,512 MB,4,0
185,DDR2-1066,512 MB,5,0
186,DDR2-1066,512 MB,6,0
187,DDR2-1066,512 MB,7,0
188,DDR2-1066,512 MB,8,0
189,DDR2-1066,512 MB,9,0
190,DDR2-1066,512 MB,10,0
191,DDR2-1066,1 GB,1,0
192,DDR2-1066,1 GB,2,0
193,DDR2-1066,1 GB,3,0
194,DDR2-1066,1 GB,4,0
195,DDR2-1066,1 GB,5,0
196,DDR2-1066,1 GB,6,0
197,DDR2-1066,1 GB,7,0
198,DDR2-1066,1 GB,8,0
199,DDR2-1066,1 GB,9,0
200,DDR2-1066,1 GB,10,0
201,DDR2-1066,2 GB,1,0
202,DDR2-1066,2 GB,2,0
203,DDR2-1066,2 GB,3,0
204,DDR2-1066,2 GB,4,0
205,DDR2-1066,2 GB,5,0
206,DDR2-1066,2 GB,6,0
207,DDR2-1066,2 GB,7,0
208,DDR2-1066,2 GB,8,0
209,DDR2-1066,2 GB,9,0
210,DDR2-1066,2 GB,10,0
211,DDR2-1066,4 GB,1,0
212,DDR2-1066,4 GB,2,0
213,DDR2-1066,4 GB,3,0
214,DDR2-1066,4 GB,4,0
215,DDR2-1066,4 GB,5,0
216,DDR2-1066,4 GB,6,0
217,DDR2-1066,4 GB,7,0
218,DDR2-1066,4 GB,8,0
219,DDR2-1066,4 GB,9,0
220,DDR2-1066,4 GB,10,0
221,DDR2-1066,8 GB,1,0
222,DDR2-1066,8 GB,2,0
223,DDR2-1066,8 GB,3,0
224,DDR2-1066,8 GB,4,0
225,DDR2-1066,8 GB,5,0
226,DDR2-1066,8 GB,6,0
227,DDR2-1066,8 GB,7,0
228,DDR2-1066,8 GB,8,0
229,DDR2-1066,8 GB,9,0
230,DDR2-1066,8 GB,10,0
231,DDR2-1066,16 GB,1,0
232,DDR2-1066,16 GB,2,0
233,DDR2-1066,16 GB,3,0
234,DDR2-1066,16 GB,4,0
235,DDR2-1066,16 GB,5,0
236,DDR2-1066,16 GB,6,0
237,DDR2-1066,16 GB,7,0
238,DDR2-1066,16 GB,8,0
239,DDR2-1066,16 GB,9,0
240,DDR2-1066,16 GB,10,0
241,DDR3-800,512 MB,1,0
242,DDR3-800,512 MB,2,0
243,DDR3-800,512 MB,3,0
244,DDR3-800,512 MB,4,0
245,DDR3-800,512 MB,5,0
246,DDR3-800,512 MB,6,0
247,DDR3-800,512 MB,7,0
248,DDR3-800,512 MB,8,0
249,DDR3-800,512 MB,9,0
250,DDR3-800,512 MB,10,0
251,DDR3-800,1 GB,1,0
252,DDR3-800,1 GB,2,0
253,DDR3-800,1 GB,3,0
254,DDR3-800,1 GB,4,0
255,DDR3-800,1 GB,5,0
256,DDR3-800,1 GB,6,0
257,DDR3-800,1 GB,7,0
258,DDR3-800,1 GB,8,0
259,DDR3-800,1 GB,9,0
260,DDR3-800,1 GB,10,0
261,DDR3-800,2 GB,1,0
262,DDR3-800,2 GB,2,0
263,DDR3-800,2 GB,3,0
264,DDR3-800,2 GB,4,0
265,DDR3-800,2 GB,5,0
266,DDR3-800,2 GB,6,0
267,DDR3-800,2 GB,7,0
268,DDR3-800,2 GB,8,0
269,DDR3-800,2 GB,9,0
270,DDR3-800,2 GB,10,0
271,DDR3-800,4 GB,1,0
272,DDR3-800,4 GB,2,0
273,DDR3-800,4 GB,3,0
274,DDR3-800,4 GB,4,0
275,DDR3-800,4 GB,5,0
276,DDR3-800,4 GB,6,0
277,DDR3-800,4 GB,7,0
278,DDR3-800,4 GB,8,0
279,DDR3-800,4 GB,9,0
280,DDR3-800,4 GB,10,0
281,DDR3-800,8 GB,1,2
282,DDR3-800,8 GB,2,4
283,DDR3-800,8 GB,3,6
284,DDR3-800,8 GB,4,8
285,DDR3-800,8 GB,5,10
286,DDR3-800,8 GB,6,12
287,DDR3-800,8 GB,7,14
288,DDR3-800,8 GB,8,16
289,DDR3-800,8 GB,9,18
290,DDR3-800,8 GB,10,20
291,DDR3-800,16 GB,1,4
292,DDR3-800,16 GB,2,8
293,DDR3-800,16 GB,3,12
294,DDR3-800,16 GB,4,16
295,DDR3-800,16 GB,5,20
296,DDR3-800,16 GB,6,24
297,DDR3-800,16 GB,7,28
298,DDR3-800,16 GB,8,32
299,DDR3-800,16 GB,9,36
300,DDR3-800,16 GB,10,40
301,DDR3-1066,512 MB,1,0
302,DDR3-1066,512 MB,2,0
303,DDR3-1066,512 MB,3,0
304,DDR3-1066,512 MB,4,0
305,DDR3-1066,512 MB,5,0
306,DDR3-1066,512 MB,6,0
307,DDR3-1066,512 MB,7,0
308,DDR3-1066,512 MB,8,0
309,DDR3-1066,512 MB,9,0
310,DDR3-1066,512 MB,10,0
311,DDR3-1066,1 GB,1,2
312,DDR3-1066,1 GB,2,4
313,DDR3-1066,1 GB,3,6
314,DDR3-1066,1 GB,4,8
315,DDR3-1066,1 GB,5,10
316,DDR3-1066,1 GB,6,12
317,DDR3-1066,1 GB,7,14
318,DDR3-1066,1 GB,8,16
319,DDR3-1066,1 GB,9,18
320,DDR3-1066,1 GB,10,20
321,DDR3-1066,2 GB,1,5
322,DDR3-1066,2 GB,2,10
323,DDR3-1066,2 GB,3,15
324,DDR3-1066,2 GB,4,20
325,DDR3-1066,2 GB,5,25
326,DDR3-1066,2 GB,6,30
327,DDR3-1066,2 GB,7,35
328,DDR3-1066,2 GB,8,40
329,DDR3-1066,2 GB,9,45
330,DDR3-1066,2 GB,10,50
331,DDR3-1066,4 GB,1,5
332,DDR3-1066,4 GB,2,10
333,DDR3-1066,4 GB,3,15
334,DDR3-1066,4 GB,4,20
335,DDR3-1066,4 GB,5,25
336,DDR3-1066,4 GB,6,30
337,DDR3-1066,4 GB,7,35
338,DDR3-1066,4 GB,8,40
339,DDR3-1066,4 GB,9,45
340,DDR3-1066,4 GB,10,50
341,DDR3-1066,8 GB,1,5
342,DDR3-1066,8 GB,2,10
343,DDR3-1066,8 GB,3,15
344,DDR3-1066,8 GB,4,20
345,DDR3-1066,8 GB,5,25
346,DDR3-1066,8 GB,6,30
347,DDR3-1066,8 GB,7,35
348,DDR3-1066,8 GB,8,40
349,DDR3-1066,8 GB,9,45
350,DDR3-1066,8 GB,10,50
351,DDR3-1066,16 GB,1,8
352,DDR3-1066,16 GB,2,16
353,DDR3-1066,16 GB,3,24
354,DDR3-1066,16 GB,4,32
355,DDR3-1066,16 GB,5,40
356,DDR3-1066,16 GB,6,48
357,DDR3-1066,16 GB,7,56
358,DDR3-1066,16 GB,8,64
359,DDR3-1066,16 GB,9,72
360,DDR3-1066,16 GB,10,80
361,DDR3-1333,512 MB,1,0
362,DDR3-1333,512 MB,2,0
363,DDR3-1333,512 MB,3,0
364,DDR3-1333,512 MB,4,0
365,DDR3-1333,512 MB,5,0
366,DDR3-1333,512 MB,6,0
367,DDR3-1333,512 MB,7,0
368,DDR3-1333,512 MB,8,0
369,DDR3-1333,512 MB,9,0
370,DDR3-1333,512 MB,10,0
371,DDR3-1333,1 GB,1,5
372,DDR3-1333,1 GB,2,10
373,DDR3-1333,1 GB,3,15
374,DDR3-1333,1 GB,4,20
375,DDR3-1333,1 GB,5,25
376,DDR3-1333,1 GB,6,30
377,DDR3-1333,1 GB,7,35
378,DDR3-1333,1 GB,8,40
379,DDR3-1333,1 GB,9,45
380,DDR3-1333,1 GB,10,50
381,DDR3-1333,2 GB,1,5
382,DDR3-1333,2 GB,2,10
383,DDR3-1333,2 GB,3,15
384,DDR3-1333,2 GB,4,20
385,DDR3-1333,2 GB,5,25
386,DDR3-1333,2 GB,6,30
387,DDR3-1333,2 GB,7,35
388,DDR3-1333,2 GB,8,40
389,DDR3-1333,2 GB,9,45
390,DDR3-1333,2 GB,10,50
391,DDR3-1333,4 GB,1,5
392,DDR3-1333,4 GB,2,10
393,DDR3-1333,4 GB,3,15
394,DDR3-1333,4 GB,4,20
395,DDR3-1333,4 GB,5,25
396,DDR3-1333,4 GB,6,30
397,DDR3-1333,4 GB,7,35
398,DDR3-1333,4 GB,8,40
399,DDR3-1333,4 GB,9,45
400,DDR3-1333,4 GB,10,50
401,DDR3-1333,8 GB,1,5
402,DDR3-1333,8 GB,2,10
403,DDR3-1333,8 GB,3,15
404,DDR3-1333,8 GB,4,20
405,DDR3-1333,8 GB,5,25
406,DDR3-1333,8 GB,6,30
407,DDR3-1333,8 GB,7,35
408,DDR3-1333,8 GB,8,40
409,DDR3-1333,8 GB,9,45
410,DDR3-1333,8 GB,10,50
411,DDR3-1333,16 GB,1,8
412,DDR3-1333,16 GB,2,16
413,DDR3-1333,16 GB,3,24
414,DDR3-1333,16 GB,4,32
415,DDR3-1333,16 GB,5,40
416,DDR3-1333,16 GB,6,48
417,DDR3-1333,16 GB,7,56
418,DDR3-1333,16 GB,8,64
419,DDR3-1333,16 GB,9,72
420,DDR3-1333,16 GB,10,80
421,DDR3-1600,512 MB,1,0
422,DDR3-1600,512 MB,2,0
423,DDR3-1600,512 MB,3,0
424,DDR3-1600,512 MB,4,0
425,DDR3-1600,512 MB,5,0
426,DDR3-1600,512 MB,6,0
427,DDR3-1600,512 MB,7,0
428,DDR3-1600,512 MB,8,0
429,DDR3-1600,512 MB,9,0
430,DDR3-1600,512 MB,10,0
431,DDR3-1600,1 GB,1,5
432,DDR3-1600,1 GB,2,10
433,DDR3-1600,1 GB,3,15
434,DDR3-1600,1 GB,4,20
435,DDR3-1600,1 GB,5,25
436,DDR3-1600,1 GB,6,30
437,DDR3-1600,1 GB,7,35
438,DDR3-1600,1 GB,8,40
439,DDR3-1600,1 GB,9,45
440,DDR3-1600,1 GB,10,50
441,DDR3-1600,2 GB,1,5
442,DDR3-1600,2 GB,2,10
443,DDR3-1600,2 GB,3,15
444,DDR3-1600,2 GB,4,20
445,DDR3-1600,2 GB,5,25
446,DDR3-1600,2 GB,6,30
447,DDR3-1600,2 GB,7,35
448,DDR3-1600,2 GB,8,40
449,DDR3-1600,2 GB,9,45
450,DDR3-1600,2 GB,10,50
451,DDR3-1600,4 GB,1,5
452,DDR3-1600,4 GB,2,10
453,DDR3-1600,4 GB,3,15
454,DDR3-1600,4 GB,4,20
455,DDR3-1600,4 GB,5,25
456,DDR3-1600,4 GB,6,30
457,DDR3-1600,4 GB,7,35
458,DDR3-1600,4 GB,8,40
459,DDR3-1600,4 GB,9,45
460,DDR3-1600,4 GB,10,50
461,DDR3-1600,8 GB,1,5
462,DDR3-1600,8 GB,2,10
463,DDR3-1600,8 GB,3,15
464,DDR3-1600,8 GB,4,20
465,DDR3-1600,8 GB,5,25
466,DDR3-1600,8 GB,6,30
467,DDR3-1600,8 GB,7,35
468,DDR3-1600,8 GB,8,40
469,DDR3-1600,8 GB,9,45
470,DDR3-1600,8 GB,10,50
471,DDR3-1600,16 GB,1,8
472,DDR3-1600,16 GB,2,16
473,DDR3-1600,16 GB,3,24
474,DDR3-1600,16 GB,4,32
475,DDR3-1600,16 GB,5,40
476,DDR3-1600,16 GB,6,48
477,DDR3-1600,16 GB,7,56
478,DDR3-1600,16 GB,8,64
479,DDR3-1600,16 GB,9,72
480,DDR3-1600,16 GB,10,80
481,DDR4-2133,512 MB,1,0
482,DDR4-2133,512 MB,2,0
483,DDR4-2133,512 MB,3,0
484,DDR4-2133,512 MB,4,0
485,DDR4-2133,512 MB,5,0
486,DDR4-2133,512 MB,6,0
487,DDR4-2133,512 MB,7,0
488,DDR4-2133,512 MB,8,0
489,DDR4-2133,512 MB,9,0
490,DDR4-2133,512 MB,10,0
491,DDR4-2133,1 GB,1,10
492,DDR4-2133,1 GB,2,20
493,DDR4-2133,1 GB,3,30
494,DDR4-2133,1 GB,4,40
495,DDR4-2133,1 GB,5,50
496,DDR4-2133,1 GB,6,60
497,DDR4-2133,1 GB,7,70
498,DDR4-2133,1 GB,8,80
499,DDR4-2133,1 GB,9,90
500,DDR4-2133,1 GB,10,100
501,DDR4-2133,2 GB,1,10
502,DDR4-2133,2 GB,2,20
503,DDR4-2133,2 GB,3,30
504,DDR4-2133,2 GB,4,40
505,DDR4-2133,2 GB,5,50
506,DDR4-2133,2 GB,6,60
507,DDR4-2133,2 GB,7,70
508,DDR4-2133,2 GB,8,80
509,DDR4-2133,2 GB,9,90
510,DDR4-2133,2 GB,10,100
511,DDR4-2133,4 GB,1,15
512,DDR4-2133,4 GB,2,30
513,DDR4-2133,4 GB,3,45
514,DDR4-2133,4 GB,4,60
515,DDR4-2133,4 GB,5,75
516,DDR4-2133,4 GB,6,90
517,DDR4-2133,4 GB,7,105
518,DDR4-2133,4 GB,8,120
519,DDR4-2133,4 GB,9,135
520,DDR4-2133,4 GB,10,150
521,DDR4-2133,8 GB,1,15
522,DDR4-2133,8 GB,2,30
523,DDR4-2133,8 GB,3,45
524,DDR4-2133,8 GB,4,60
525,DDR4-2133,8 GB,5,75
526,DDR4-2133,8 GB,6,90
527,DDR4-2133,8 GB,7,105
528,DDR4-2133,8 GB,8,120
529,DDR4-2133,8 GB,9,135
530,DDR4-2133,8 GB,10,150
531,DDR4-2133,16 GB,1,20
532,DDR4-2133,16 GB,2,40
533,DDR4-2133,16 GB,3,60
534,DDR4-2133,16 GB,4,80
535,DDR4-2133,16 GB,5,100
536,DDR4-2133,16 GB,6,120
537,DDR4-2133,16 GB,7,140
538,DDR4-2133,16 GB,8,160
539,DDR4-2133,16 GB,9,180
540,DDR4-2133,16 GB,10,200
541,DDR4-2400,512 MB,1,0
542,DDR4-2400,512 MB,2,0
543,DDR4-2400,512 MB,3,0
544,DDR4-2400,512 MB,4,0
545,DDR4-2400,512 MB,5,0
546,DDR4-2400,512 MB,6,0
547,DDR4-2400,512 MB,7,0
548,DDR4-2400,512 MB,8,0
549,DDR4-2400,512 MB,9,0
550,DDR4-2400,512 MB,10,0
551,DDR4-2400,1 GB,1,10
552,DDR4-2400,1 GB,2,20
553,DDR4-2400,1 GB,3,30
554,DDR4-2400,1 GB,4,40
555,DDR4-2400,1 GB,5,50
556,DDR4-2400,1 GB,6,60
557,DDR4-2400,1 GB,7,70
558,DDR4-2400,1 GB,8,80
559,DDR4-2400,1 GB,9,90
560,DDR4-2400,1 GB,10,100
561,DDR4-2400,2 GB,1,10
562,DDR4-2400,2 GB,2,20
563,DDR4-2400,2 GB,3,30
564,DDR4-2400,2 GB,4,40
565,DDR4-2400,2 GB,5,50
566,DDR4-2400,2 GB,6,60
567,DDR4-2400,2 GB,7,70
568,DDR4-2400,2 GB,8,80
569,DDR4-2400,2 GB,9,90
570,DDR4-2400,2 GB,10,100
571,DDR4-2400,4 GB,1,15
572,DDR4-2400,4 GB,2,30
573,DDR4-2400,4 GB,3,45
574,DDR4-2400,4 GB,4,60
575,DDR4-2400,4 GB,5,75
576,DDR4-2400,4 GB,6,90
577,DDR4-2400,4 GB,7,105
578,DDR4-2400,4 GB,8,120
579,DDR4-2400,4 GB,9,135
580,DDR4-2400,4 GB,10,150
581,DDR4-2400,8 GB,1,15
582,DDR4-2400,8 GB,2,30
583,DDR4-2400,8 GB,3,45
584,DDR4-2400,8 GB,4,60
585,DDR4-2400,8 GB,5,75
586,DDR4-2400,8 GB,6,90
587,DDR4-2400,8 GB,7,105
588,DDR4-2400,8 GB,8,120
589,DDR4-2400,8 GB,9,135
590,DDR4-2400,8 GB,10,150
591,DDR4-2400,16 GB,1,20
592,DDR4-2400,16 GB,2,40
593,DDR4-2400,16 GB,3,60
594,DDR4-2400,16 GB,4,80
595,DDR4-2400,16 GB,5,100
596,DDR4-2400,16 GB,6,120
597,DDR4-2400,16 GB,7,140
598,DDR4-2400,16 GB,8,160
599,DDR4-2400,16 GB,9,180
600,DDR4-2400,16 GB,10,200
601,DDR4-2666,512 MB,1,0
602,DDR4-2666,512 MB,2,0
603,DDR4-2666,512 MB,3,0
604,DDR4-2666,512 MB,4,0
605,DDR4-2666,512 MB,5,0
606,DDR4-2666,512 MB,6,0
607,DDR4-2666,512 MB,7,0
608,DDR4-2666,512 MB,8,0
609,DDR4-2666,512 MB,9,0
610,DDR4-2666,512 MB,10,0
611,DDR4-2666,1 GB,1,10
612,DDR4-2666,1 GB,2,20
613,DDR4-2666,1 GB,3,30
614,DDR4-2666,1 GB,4,40
615,DDR4-2666,1 GB,5,50
616,DDR4-2666,1 GB,6,60
617,DDR4-2666,1 GB,7,70
618,DDR4-2666,1 GB,8,80
619,DDR4-2666,1 GB,9,90
620,DDR4-2666,1 GB,10,100
621,DDR4-2666,2 GB,1,10
622,DDR4-2666,2 GB,2,20
623,DDR4-2666,2 GB,3,30
624,DDR4-2666,2 GB,4,40
625,DDR4-2666,2 GB,5,50
626,DDR4-2666,2 GB,6,60
627,DDR4-2666,2 GB,7,70
628,DDR4-2666,2 GB,8,80
629,DDR4-2666,2 GB,9,90
630,DDR4-2666,2 GB,10,100
631,DDR4-2666,4 GB,1,15
632,DDR4-2666,4 GB,2,30
633,DDR4-2666,4 GB,3,45
634,DDR4-2666,4 GB,4,60
635,DDR4-2666,4 GB,5,75
636,DDR4-2666,4 GB,6,90
637,DDR4-2666,4 GB,7,105
638,DDR4-2666,4 GB,8,120
639,DDR4-2666,4 GB,9,135
640,DDR4-2666,4 GB,10,150
641,DDR4-2666,8 GB,1,15
642,DDR4-2666,8 GB,2,30
643,DDR4-2666,8 GB,3,45
644,DDR4-2666,8 GB,4,60
645,DDR4-2666,8 GB,5,75
646,DDR4-2666,8 GB,6,90
647,DDR4-2666,8 GB,7,105
648,DDR4-2666,8 GB,8,120
649,DDR4-2666,8 GB,9,135
650,DDR4-2666,8 GB,10,150
651,DDR4-2666,16 GB,1,20
652,DDR4-2666,16 GB,2,40
653,DDR4-2666,16 GB,3,60
654,DDR4-2666,16 GB,4,80
655,DDR4-2666,16 GB,5,100
656,DDR4-2666,16 GB,6,120
657,DDR4-2666,16 GB,7,140
658,DDR4-2666,16 GB,8,160
659,DDR4-2666,16 GB,9,180
660,DDR4-2666,16 GB,10,200
661,DDR4-3000,512 MB,1,0
662,DDR4-3000,512 MB,2,0
663,DDR4-3000,512 MB,3,0
664,DDR4-3000,512 MB,4,0
665,DDR4-3000,512 MB,5,0
666,DDR4-3000,512 MB,6,0
667,DDR4-3000,512 MB,7,0
668,DDR4-3000,512 MB,8,0
669,DDR4-3000,512 MB,9,0
670,DDR4-3000,512 MB,10,0
671,DDR4-3000,1 GB,1,10
672,DDR4-3000,1 GB,2,20
673,DDR4-3000,1 GB,3,30
674,DDR4-3000,1 GB,4,40
675,DDR4-3000,1 GB,5,50
676,DDR4-3000,1 GB,6,60
677,DDR4-3000,1 GB,7,70
678,DDR4-3000,1 GB,8,80
679,DDR4-3000,1 GB,9,90
680,DDR4-3000,1 GB,10,100
681,DDR4-3000,2 GB,1,10
682,DDR4-3000,2 GB,2,20
683,DDR4-3000,2 GB,3,30
684,DDR4-3000,2 GB,4,40
685,DDR4-3000,2 GB,5,50
686,DDR4-3000,2 GB,6,60
687,DDR4-3000,2 GB,7,70
688,DDR4-3000,2 GB,8,80
689,DDR4-3000,2 GB,9,90
690,DDR4-3000,2 GB,10,100
691,DDR4-3000,4 GB,1,15
692,DDR4-3000,4 GB,2,30
693,DDR4-3000,4 GB,3,45
694,DDR4-3000,4 GB,4,60
695,DDR4-3000,4 GB,5,75
696,DDR4-3000,4 GB,6,90
697,DDR4-3000,4 GB,7,105
698,DDR4-3000,4 GB,8,120
699,DDR4-3000,4 GB,9,135
700,DDR4-3000,4 GB,10,150
701,DDR4-3000,8 GB,1,15
702,DDR4-3000,8 GB,2,30
703,DDR4-3000,8 GB,3,45
704,DDR4-3000,8 GB,4,60
705,DDR4-3000,8 GB,5,75
706,DDR4-3000,8 GB,6,90
707,DDR4-3000,8 GB,7,105
708,DDR4-3000,8 GB,8,120
709,DDR4-3000,8 GB,9,135
710,DDR4-3000,8 GB,10,150
711,DDR4-3000,16 GB,1,20
712,DDR4-3000,16 GB,2,40
713,DDR4-3000,16 GB,3,60
714,DDR4-3000,16 GB,4,80
715,DDR4-3000,16 GB,5,100
716,DDR4-3000,16 GB,6,120
717,DDR4-3000,16 GB,7,140
718,DDR4-3000,16 GB,8,160
719,DDR4-3000,16 GB,9,180
720,DDR4-3000,16 GB,10,200
721,DDR4-3200,512 MB,1,0
722,DDR4-3200,512 MB,2,0
723,DDR4-3200,512 MB,3,0
724,DDR4-3200,512 MB,4,0
725,DDR4-3200,512 MB,5,0
726,DDR4-3200,512 MB,6,0
727,DDR4-3200,512 MB,7,0
728,DDR4-3200,512 MB,8,0
729,DDR4-3200,512 MB,9,0
730,DDR4-3200,512 MB,10,0
731,DDR4-3200,1 GB,1,10
732,DDR4-3200,1 GB,2,20
733,DDR4-3200,1 GB,3,30
734,DDR4-3200,1 GB,4,40
735,DDR4-3200,1 GB,5,50
736,DDR4-3200,1 GB,6,60
737,DDR4-3200,1 GB,7,70
738,DDR4-3200,1 GB,8,80
739,DDR4-3200,1 GB,9,90
740,DDR4-3200,1 GB,10,100
741,DDR4-3200,2 GB,1,10
742,DDR4-3200,2 GB,2,20
743,DDR4-3200,2 GB,3,30
744,DDR4-3200,2 GB,4,40
745,DDR4-3200,2 GB,5,50
746,DDR4-3200,2 GB,6,60
